stateAbbrev,countyName,FIPS,totalVotes,VAP,state,turnoutPerc,nNonVote,percFromMean
PA,Adams County,42001,47489,78370,Pennsylvania,60.59589128,30881,5.095891285
PA,Allegheny County,42003,650114,961595,Pennsylvania,67.60788066,311481,12.10788066
PA,Armstrong County,42005,31618,54155,Pennsylvania,58.38426738,22537,2.884267381
PA,Beaver County,42007,83571,134970,Pennsylvania,61.91820405,51399,6.418204045
PA,Bedford County,42009,23637,38650,Pennsylvania,61.15653299,15013,5.656532988
PA,Berks County,42011,183065,306015,Pennsylvania,59.82223094,122950,4.322230936
PA,Blair County,42013,54909,99495,Pennsylvania,55.18769787,44586,-0.3123021257
PA,Bradford County,42015,25708,47850,Pennsylvania,53.7262278,22142,-1.773772205
PA,Bucks County,42017,344297,474050,Pennsylvania,72.62883662,129753,17.12883662
PA,Butler County,42019,97071,145675,Pennsylvania,66.63531835,48604,11.13531835
PA,Cambria County,42021,63072,110410,Pennsylvania,57.12526039,47338,1.625260393
PA,Cameron County,42023,2186,3935,Pennsylvania,55.55273189,1749,0.05273189327
PA,Carbon County,42025,28776,51115,Pennsylvania,56.29658613,22339,0.7965861293
PA,Centre County,42027,76148,126495,Pennsylvania,60.19842682,50347,4.698426815
PA,Chester County,42029,268800,367555,Pennsylvania,73.13191223,98755,17.63191223
PA,Clarion County,42031,17535,31395,Pennsylvania,55.85284281,13860,0.3528428094
PA,Clearfield County,42033,34271,64075,Pennsylvania,53.48575888,29804,-2.014241124
PA,Clinton County,42035,15394,31165,Pennsylvania,49.39515482,15771,-6.104845179
PA,Columbia County,42037,28228,54050,Pennsylvania,52.22571693,25822,-3.274283071
PA,Crawford County,42039,37492,67805,Pennsylvania,55.29385739,30313,-0.2061426149
PA,Cumberland County,42041,121617,187840,Pennsylvania,64.74499574,66223,9.244995741
PA,Dauphin County,42043,130872,202405,Pennsylvania,64.65848176,71533,9.158481757
PA,Delaware County,42045,297634,414375,Pennsylvania,71.82720965,116741,16.32720965
PA,Elk County,42047,14426,24880,Pennsylvania,57.98231511,10454,2.482315113
PA,Erie County,42049,123679,212470,Pennsylvania,58.21010025,88791,2.710100249
PA,Fayette County,42051,53767,107355,Pennsylvania,50.08336826,53588,-5.416631736
PA,Forest County,42053,2401,7125,Pennsylvania,33.69824561,4724,-21.80175439
PA,Franklin County,42055,69731,115150,Pennsylvania,60.55666522,45419,5.056665219
PA,Fulton County,42057,6771,11480,Pennsylvania,58.98083624,4709,3.480836237
PA,Greene County,42059,15764,30345,Pennsylvania,51.94925029,14581,-3.550749712
PA,Huntingdon County,42061,19706,36870,Pennsylvania,53.44724708,17164,-2.052752916
PA,Indiana County,42063,37770,70725,Pennsylvania,53.40402969,32955,-2.095970308
PA,Jefferson County,42065,19478,35050,Pennsylvania,55.57203994,15572,0.07203994294
PA,Juniata County,42067,10454,18940,Pennsylvania,55.19535375,8486,-0.3046462513
PA,Lackawanna County,42069,103456,164940,Pennsylvania,62.72341457,61484,7.223414575
PA,Lancaster County,42071,241112,394585,Pennsylvania,61.1052118,153473,5.605211805
PA,Lawrence County,42073,40753,70165,Pennsylvania,58.08166465,29412,2.581664648
PA,Lebanon County,42075,61845,103190,Pennsylvania,59.93313306,41345,4.433133056
PA,Lehigh County,42077,160993,262635,Pennsylvania,61.29914139,101642,5.799141394
PA,Luzerne County,42079,134983,247480,Pennsylvania,54.54299337,112497,-0.9570066268
PA,Lycoming County,42081,50565,91640,Pennsylvania,55.17786993,41075,-0.3221300742
PA,McKean County,42083,16296,33720,Pennsylvania,48.32740214,17424,-7.172597865
PA,Mercer County,42085,52309,90690,Pennsylvania,57.67890616,38381,2.178906164
PA,Mifflin County,42087,18601,35860,Pennsylvania,51.87116564,17259,-3.628834356
PA,Monroe County,42089,69752,126260,Pennsylvania,55.24473309,56508,-0.2552669096
PA,Montgomery County,42091,434687,603170,Pennsylvania,72.06707893,168483,16.56707893
PA,Montour County,42093,8556,14330,Pennsylvania,59.70690858,5774,4.206908583
PA,Northampton County,42095,143519,230620,Pennsylvania,62.2318099,87101,6.731809904
PA,Northumberland County,42097,36622,74685,Pennsylvania,49.03528152,38063,-6.464718484
PA,Perry County,42099,21158,35270,Pennsylvania,59.98865892,14112,4.488658917
PA,Philadelphia County,42101,707631,1120330,Pennsylvania,63.16272884,412699,7.662728839
PA,Pike County,42103,26101,43450,Pennsylvania,60.07134638,17349,4.571346375
PA,Potter County,42105,7784,13495,Pennsylvania,57.68062245,5711,2.180622453
PA,Schuylkill County,42107,62869,115570,Pennsylvania,54.3990655,52701,-1.100934499
PA,Snyder County,42109,16363,31225,Pennsylvania,52.40352282,14862,-3.096477182
PA,Somerset County,42111,35773,61840,Pennsylvania,57.84767141,26067,2.34767141
PA,Sullivan County,42113,3136,5445,Pennsylvania,57.59412305,2309,2.094123049
PA,Susquehanna County,42115,18863,33335,Pennsylvania,56.58617069,14472,1.086170691
PA,Tioga County,42117,18325,33390,Pennsylvania,54.88170111,15065,-0.6182988919
PA,Union County,42119,17468,36095,Pennsylvania,48.39451448,18627,-7.105485524
PA,Venango County,42121,23348,42435,Pennsylvania,55.02061977,19087,-0.4793802286
PA,Warren County,42123,18434,32415,Pennsylvania,56.86873361,13981,1.368733611
PA,Washington County,42125,101450,165075,Pennsylvania,61.45691352,63625,5.956913524
PA,Wayne County,42127,24018,41830,Pennsylvania,57.41812097,17812,1.918120966
PA,Westmoreland County,42129,182051,289880,Pennsylvania,62.80219401,107829,7.302194011
PA,Wyoming County,42131,13144,22165,Pennsylvania,59.3006993,9021,3.800699301
PA,York County,42133,205986,334780,Pennsylvania,61.52876516,128794,6.028765159